Neighborhood,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,LotArea,MSZoning,SalePrice
NWAmes,2099,1,1963,1970,825.0,1275,824,3,1,1,TA,3,618.0,4784,RL,278955
ClearCr,629,8,1964,2010,1731.0,264,365,2,0,4,Gd,1,229.0,19525,RL,391548
MeadowV,3567,8,1980,1996,1858.0,1759,1808,1,0,2,Gd,1,241.0,16223,FV,558351
NridgHt,2345,9,1966,1982,70.0,1399,946,2,0,4,Ex,2,274.0,8144,FV,573985
OldTown,1886,9,1989,2010,247.0,988,898,3,0,5,Gd,3,417.0,5265,RL,492724
NPkVill,3366,2,1914,1926,145.0,1591,1775,3,1,3,TA,1,181.0,8484,RH,309093
NWAmes,1192,2,1999,2010,1641.0,717,475,2,1,4,TA,2,230.0,6680,RL,226228
StoneBr,3863,3,1931,1968,1798.0,2044,1819,3,0,3,Fa,1,226.0,18830,RM,397514
BrDale,1894,1,1995,2010,1319.0,953,941,2,0,2,Ex,0,0.0,16585,RL,294035
NridgHt,1293,4,1967,2010,581.0,757,536,3,1,4,Gd,0,,1411,RL,290899
NridgHt,528,4,1917,1930,469.0,239,289,2,0,4,TA,1,233.0,17443,RL,186904
SWISU,648,9,1982,2010,1529.0,499,149,2,1,2,Gd,3,306.0,18276,C (all),510191
NPkVill,1819,9,1942,1947,192.0,1358,461,1,1,2,Gd,0,0.0,8713,RL,449922
NoRidge,2558,9,1934,1968,1091.0,1747,811,1,1,1,Fa,2,330.0,16026,RL,585559
OldTown,3223,10,2003,2010,493.0,1426,1797,2,0,5,TA,1,194.0,18922,FV,676193
SWISU,1636,7,1977,1990,1840.0,1162,474,3,0,4,Gd,2,370.0,7283,FV,430899
Crawfor,686,2,1957,2003,51.0,496,190,3,0,4,TA,0,0.0,11621,RL,163767
Blmngtn,3354,10,1932,1939,881.0,2371,983,3,1,2,TA,3,684.0,12361,RM,750000
NPkVill,3291,5,1913,1927,362.0,1466,1825,2,0,2,TA,2,228.0,4898,RL,383460
Veenker,1750,4,1933,1959,1820.0,1150,600,2,0,5,TA,0,0.0,2826,RL,328758
SWISU,1833,8,1960,1972,916.0,1344,489,2,1,2,Ex,0,0.0,9209,RL,458911
NAmes,597,2,1903,1951,473.0,376,221,2,0,3,TA,0,0.0,3269,RL,130123
Somerst,554,6,1987,2010,1869.0,364,190,1,0,3,Ex,2,332.0,10443,RL,418788
Veenker,3170,5,1958,1992,520.0,1849,1321,2,0,3,Ex,0,0.0,19186,RL,448764
NPkVill,3211,2,1928,1933,1786.0,1963,1248,3,1,3,Fa,1,195.0,12828,RL,332128
CollgCr,1257,10,1982,1986,1454.0,520,737,1,0,5,TA,0,0.0,9601,RM,493243
NAmes,905,1,1905,1926,1867.0,593,312,3,1,4,TA,1,133.0,3654,RM,174960
Blmngtn,2616,8,1996,2010,,1131,1485,2,1,3,TA,3,393.0,6619,RL,557068
NAmes,3883,2,1948,1970,1458.0,2228,1655,1,1,2,Fa,1,216.0,1525,RL,310834
Blueste,1812,7,1939,1963,1719.0,936,876,2,0,3,TA,3,414.0,15820,RL,414701
Timber,2285,9,1982,2010,690.0,1412,873,1,0,5,Gd,3,585.0,4311,RM,516793
Sawyer,1250,9,1964,1989,1221.0,566,684,3,0,2,Gd,1,230.0,5426,RL,456191
Edwards,3719,8,1968,2010,1151.0,2516,1203,2,1,3,Gd,3,426.0,1913,RL,602921
MeadowV,2262,10,1926,1930,531.0,1624,638,2,1,4,Gd,1,180.0,15382,RL,548886
MeadowV,3815,9,1979,2004,1434.0,1775,2040,1,0,2,Gd,2,204.0,17782,RL,736549
StoneBr,3505,2,1905,1924,1957.0,1548,1957,1,1,2,TA,3,519.0,6758,RL,412976
NAmes,864,6,2003,2008,839.0,395,469,2,0,4,TA,1,216.0,10302,FV,259558
BrDale,2526,4,1912,1917,1088.0,1896,630,1,0,2,Fa,3,486.0,3999,RL,286644
ClearCr,981,4,1963,2010,1717.0,599,382,2,0,3,TA,0,0.0,8817,RL,280596
Blueste,2748,5,1961,1978,240.0,1612,1136,1,0,2,TA,1,139.0,2319,RL,358090
Crawfor,653,3,1998,2001,1392.0,289,364,3,0,3,Gd,0,0.0,17203,RM,241703
Mitchel,2024,1,1918,1934,535.0,1335,689,1,0,4,Ex,3,498.0,14998,RL,287568
StoneBr,2620,8,1975,1988,1407.0,1957,663,3,0,1,Gd,3,606.0,17450,RL,568969
NWAmes,3260,5,1979,1992,1454.0,2383,877,1,1,4,TA,2,474.0,6878,RL,427367
NPkVill,2843,3,1942,1954,1990.0,1849,994,1,0,3,Gd,1,145.0,8029,RM,293257
BrkSide,1540,10,1973,1979,82.0,662,878,2,1,5,TA,0,0.0,8261,RL,511320
NWAmes,2164,7,1988,2010,981.0,962,1202,1,1,4,TA,2,348.0,12471,RL,463623
Gilbert,1740,7,1919,1933,1854.0,730,1010,1,0,5,Gd,3,588.0,15247,FV,411405
NoRidge,560,1,1994,2010,1720.0,281,279,3,1,5,Gd,3,375.0,18480,FV,253178
Blueste,1438,9,1967,2009,950.0,653,785,1,1,3,Gd,2,242.0,3257,RL,485278
IDOTRR,2139,2,1943,1989,1851.0,1078,1061,2,1,3,Gd,0,0.0,14600,RH,303951
Gilbert,2589,5,1922,1965,610.0,1434,1155,3,0,1,TA,3,516.0,5741,RL,362053
BrkSide,524,5,1901,1935,573.0,407,117,2,0,2,TA,3,642.0,14311,RL,226666
NPkVill,1562,8,1921,1937,285.0,1006,556,2,0,4,TA,1,150.0,2401,RL,344806
Veenker,630,8,1956,1990,988.0,462,168,2,0,3,TA,2,424.0,10529,RL,347607
ClearCr,1752,7,2000,2010,1557.0,1198,554,2,0,4,TA,3,,14915,RL,450409
MeadowV,607,7,1971,1990,458.0,270,337,3,1,5,Fa,0,0.0,16032,RL,249105
NWAmes,671,6,1906,1941,1235.0,465,206,1,1,2,Gd,1,102.0,13666,RM,247295
NAmes,1958,6,1977,2010,125.0,998,960,2,0,1,TA,2,438.0,11270,RM,356415
OldTown,601,9,1955,1986,1436.0,394,207,3,1,4,Gd,0,0.0,14292,RL,382564
MeadowV,3413,6,1966,2010,1522.0,1830,1583,2,1,2,Gd,3,,2281,RL,565089
Crawfor,3071,2,1915,1958,424.0,2453,618,1,1,1,Gd,2,362.0,17430,RL,291155
IDOTRR,2822,2,1982,2010,553.0,1426,1396,3,1,4,TA,2,288.0,9866,RL,308182
Timber,2136,5,1950,1973,609.0,1092,1044,3,0,2,Gd,0,0.0,7649,RL,311251
NoRidge,3615,4,1981,1997,1984.0,2791,824,1,0,3,Gd,2,370.0,12028,RL,525147
Gilbert,3364,2,1979,1985,1566.0,1378,1986,3,0,4,Fa,0,0.0,8848,RL,323967
OldTown,3504,3,1971,2010,1181.0,2378,1126,1,1,2,TA,3,324.0,19675,RL,436942
NoRidge,1540,7,1996,2010,111.0,1062,478,3,1,1,TA,1,111.0,4746,RM,403580
Veenker,829,8,1911,1911,401.0,608,221,3,0,2,TA,0,0.0,14120,C (all),328686
Somerst,2020,6,1952,1986,,1595,425,1,0,3,Fa,1,187.0,4172,RL,295109
